Site,Plot,Little_type,Pct_wt,Load_wt,BA_m2ha,BA_ft2a,Pine_m2ha,Pine_ft2a,Pine_pctBAft2a
CR,103,Pinus,63.51495726,264.1958,35.74192054,155.6872002,29.55933916,128.7566724,82.70215678
CR,104,Pinus,55.09103169,226.92175,29.56523909,128.7823717,16.82418879,73.28399842,56.90530268
CR,105,Pinus,58.33333333,299.02565,42.99401918,187.2764074,20.70909746,90.20615998,48.16739131
CR,106,Pinus,70.19064125,359.964,26.18927686,114.0771153,20.15881271,87.8091905,76.97353695
CR,107,Pinus,88.29016197,778.19995,34.59034771,150.6710973,30.69569639,133.7064981,88.74064137
Kreher,19,Pinus,43.93865864,251.47485,67.60785994,294.491126,27.78474167,121.0267544,41.09691047
Kreher,20,Pinus,78.13431353,436.90075,58.52973351,254.9479771,40.48224118,176.335426,69.16525795
Kreher,21,Pinus,62.70560296,396.01595,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049
Kreher,22,Pinus,57.17420917,419.68025,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337
Kreher,23,Pinus,31.63723017,125.37635,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789
MOT,24,Pinus,63.27872168,347.57635,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157
MOT,25,Pinus,78.19353759,518.89255,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304
MOT,26,Pinus,66.37082771,382.184,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682
MOT,27,Pinus,32.62982083,119.37695,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989
MOT,28,Pinus,67.66608325,493.9506,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857
MOT,29,Pinus,34.98336389,286.1936,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895
MOT,30,Pinus,28.47555129,131.9868,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237
MOT,31,Pinus,76.60538692,497.67245,41.1254498,179.1371599,31.27330713,136.222496,76.04368411
MOT,32,Pinus,10.61292271,39.05165,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559
MOT,33,Pinus,32.74184316,127.0984,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056
MOT,52,Pinus,20.34343788,64.49355,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937
MOT,53,Pinus,20.56539298,110.3223,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417
MOT,54,Pinus,71.72200089,450.01055,38.75845293,168.8268266,25.435988,110.795886,65.62694344
MOT,55,Pinus,44.65039646,240.8648,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442
MOT,56,Pinus,31.40958377,149.6517,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858
MOT,57,Pinus,44.85083776,243.8645,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456
MOT,58,Pinus,25.03843879,117.59935,33.85836845,147.48269,9.703829343,42.26863019,28.66006186
MOT,59,Pinus,65.36964981,307.9692,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265
MOT,60,Pinus,87.87693717,639.43605,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525
Talladega,61,Pinus,67.1676905,285.47145,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202
Talladega,62,Pinus,65.45662427,254.419,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331
Talladega,63,Pinus,71.91332301,335.522,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773
Talladega,64,Pinus,67.08041015,276.1946,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464
Talladega,65,Pinus,76.34294532,439.7338,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011
Talladega,66,Pinus,48.38115697,175.14915,58.45936134,254.641445,12.34699719,53.78192875,21.12065016
Talladega,67,Pinus,22.48445224,78.3255,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107
Talladega,68,Pinus,4.750869061,15.94285,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023
Talladega,69,Pinus,48.567754,230.7547,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971
Talladega,70,Pinus,43.86027765,272.02835,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678
Talladega,71,Pinus,100,1113.5553,33.29764238,145.0402395,33.29764238,145.0402395,100
Talladega,72,Pinus,65.01112966,259.58515,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041
Talladega,74,Pinus,10.56260342,42.5513,21.4714303,93.52678357,10.1443832,44.187626,47.24595919
Talladega,75,Pinus,6.693892045,20.94235,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245
Talladega,76,Pinus,15.48898678,48.82845,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351
Talladega,77,Pinus,55.99846193,242.69795,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094
Talladega,78,Pinus,31.47736977,102.37865,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067
Talladega,79,Pinus,42.28132388,198.70235,40.34898819,175.7549932,25.124301,109.4382176,62.26748703
Talladega,80,Pinus,54.5029367,278.36105,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615
Talladega,81,Pinus,58.65433137,387.4057,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852
Talladega,82,Pinus,51.2961185,207.757,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858
Talladega,83,Pinus,11.55283724,37.774,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425
Talladega,84,Pinus,29.97294603,116.93275,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384
Talladega,85,Pinus,51.33075097,228.1994,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075
Talladega,86,Pinus,44.2099004,165.2057,32.82234882,142.969922,15.91276633,69.3139596,48.48149781
Talladega,87,Pinus,42.32434232,211.81215,36.71738828,159.936212,27.28336421,118.8428188,74.30638585
Talladega,88,Pinus,36.41533038,177.8711,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259
Talladega,89,Pinus,83.7229344,431.7346,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535
Talladega,91,Pinus,7.767784137,31.6635,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899
Talladega,92,Pinus,19.14578447,86.15805,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322
Talladega,93,Pinus,25.09616505,119.59915,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338
Talladega,94,Pinus,68.69348301,244.7533,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457
Talladega,95,Pinus,44.88086813,211.36775,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674
Talladega,96,Pinus,56.45188425,372.79605,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271
Talladega,97,Pinus,42.97668858,159.7618,39.11679594,170.3877226,27.3383267,119.0822283,69.88897233
Talladega,98,Pinus,73.72190885,457.3987,41.55358275,181.0020519,27.90095473,121.5329635,67.14452252
Talladega,99,Pinus,41.2126443,212.201,74.24077663,323.3832564,32.42616087,141.2441783,43.6770227
Talladega,100,Pinus,31.06445313,176.70455,34.65955542,150.9725572,21.46335671,93.49161607,61.92623203
Talladega,101,Pinus,25.76331361,120.93235,34.89182628,151.9842991,19.18862385,83.58317285,54.9946102
Talladega,102,Pinus,61.7896133,336.4108,27.65137224,120.4458143,18.60984865,81.06210268,67.30171833
Tuskegee,1,Pinus,54.84107579,373.79595,51.9558161,226.3128399,24.84300639,108.2129346,47.8156408
Tuskegee,2,Pinus,36.13367371,172.9827,38.37685955,167.164655,29.06312414,126.5952237,75.73085572
Tuskegee,2.2,Pinus,38.79965135,173.0938,29.85080338,130.026253,24.93748288,108.624462,83.5404078
Tuskegee,3,Pinus,44.16435826,265.69565,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517
Tuskegee,3.2,Pinus,59.23348567,316.80165,36.54594103,159.1894098,25.22277546,109.8671597,69.01662607
Tuskegee,6,Pinus,42.8659885,269.1953,42.7700548,186.3008474,16.38138365,71.35519629,38.30105836
Tuskegee,7,Pinus,66.9820246,353.9646,31.20677768,135.9327023,27.02601866,117.7218547,86.60304158
Tuskegee,7.2,Pinus,70.79107505,426.5129,59.30708787,258.3340325,39.68870083,172.8788665,66.92067043
Tuskegee,8,Pinus,52.18338109,252.91915,51.06290854,222.4234497,32.378845,141.0380765,63.40971543
Tuskegee,9,Pinus,47.7568318,181.5374,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023
Tuskegee,12,Pinus,51.47069774,383.9616,27.03436395,117.7582057,15.4499713,67.29808409,57.14937969
Tuskegee,17,Pinus,53.11540149,268.9731,45.34098734,197.4994983,33.70376704,146.8092662,74.3339945
Tuskegee,34,Pinus,45.62923138,254.58565,43.36295877,188.8834607,30.62016178,133.377479,70.61363579
Tuskegee,35,Pinus,37.59898905,247.91965,36.30955574,158.159746,24.90546024,108.4849755,68.59202689
Tuskegee,36,Pinus,47.12764362,174.5381,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663
Tuskegee,37,Pinus,70.21160161,427.6239,38.45759541,167.51633,23.81071303,103.7163977,61.91420126
Tuskegee,38,Pinus,36.29293584,155.54,40.150836,174.8918678,14.58559299,63.53296359,36.32699701
Tuskegee,39,Pinus,72.30936293,332.91115,35.86174343,156.2091332,24.53601605,106.8757242,68.41835814
Tuskegee,40,Pinus,71.94651891,331.80015,48.89930393,212.9990668,34.78578283,151.5223875,71.1375828
Tuskegee,41,Pinus,69.91405849,605.55055,36.53732403,159.1518753,33.74941386,147.0080978,92.36969249
Tuskegee,42,Pinus,65.75929252,264.36245,37.92889197,165.2133659,28.81059169,125.4952249,75.95948682
Tuskegee,43,Pinus,49.21837422,227.36615,15.74877161,68.59961975,7.508745515,32.70712789,47.67829328
Tuskegee,44,Pinus,38.25123153,172.5383,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739
Tuskegee,45,Pinus,47.25450474,246.1976,28.74965164,125.2297779,12.47256475,54.32888483,43.38335957
Tuskegee,47,Pinus,52.55446058,225.14415,30.89897221,134.5919413,11.83657577,51.5585988,38.30734463
Tuskegee,48,Pinus,28.66979656,101.7676,29.22145182,127.2848787,10.77035782,46.91429079,36.85770947
Tuskegee,49,Pinus,77.82989368,414.79185,50.37215115,219.4145995,36.91554048,160.7993374,73.28561443
Tuskegee,50,Pinus,76.53576265,345.35435,60.3770321,262.9945717,37.90067323,165.0904487,62.77332936
Tuskegee,51,Pinus,74.77044163,284.9715,54.66007926,238.0922618,44.60124503,194.277276,81.59747592
CR,103,Upland oak,8.333333333,34.6632,35.74192054,155.6872002,29.55933916,128.7566724,82.70215678
CR,104,Upland oak,31.63857047,130.3203,29.56523909,128.7823717,16.82418879,73.28399842,56.90530268
CR,105,Upland oak,18.14044213,92.9907,42.99401918,187.2764074,20.70909746,90.20615998,48.16739131
CR,106,Upland oak,16.95190641,86.93575,26.18927686,114.0771153,20.15881271,87.8091905,76.97353695
CR,107,Upland oak,10.41784836,91.82415,34.59034771,150.6710973,30.69569639,133.7064981,88.74064137
Kreher,19,Upland oak,13.20003882,75.548,67.60785994,294.491126,27.78474167,121.0267544,41.09691047
Kreher,20,Upland oak,0.784820187,4.38845,58.52973351,254.9479771,40.48224118,176.335426,69.16525795
Kreher,21,Upland oak,0.923564078,5.83275,47.37855861,206.3748961,29.04406582,126.5122081,61.30213049
Kreher,22,Upland oak,0.423792947,3.1108,39.68346076,172.8560415,15.59032748,67.90945756,39.28671337
Kreher,23,Upland oak,19.65236894,77.8811,51.2384314,223.1880046,23.27478994,101.3819858,45.42447789
MOT,24,Upland oak,0.414644013,2.27755,47.33236839,206.1736975,30.28984343,131.9386549,63.99393157
MOT,25,Upland oak,0.401808137,2.6664,42.44439429,184.8823121,33.15220138,144.4067172,78.10737304
MOT,26,Upland oak,0,0,30.13563018,131.2669218,17.52837628,76.35134838,58.16495682
MOT,27,Upland oak,1.24506529,4.5551,30.93817568,134.7627066,9.820624633,42.77737542,31.74273989
MOT,28,Upland oak,6.445475991,47.05085,48.50121404,211.2650385,29.70776893,129.4032133,61.25159857
MOT,29,Upland oak,40.59889998,332.13345,29.1478968,126.9644825,10.76911573,46.90888041,36.94645895
MOT,30,Upland oak,17.82118888,82.60285,41.62546872,181.3151779,17.26617881,75.20924999,41.47984237
MOT,31,Upland oak,2.727661394,17.72045,41.1254498,179.1371599,31.27330713,136.222496,76.04368411
MOT,32,Upland oak,33.19746377,122.15445,25.50306087,111.0880468,4.20653239,18.32311304,16.49422559
MOT,33,Upland oak,24.79965655,96.26815,34.88619806,151.9597833,16.88978668,73.56973436,48.41395056
MOT,52,Upland oak,54.93253899,174.14925,26.66546317,116.1513215,9.34816459,40.71940035,35.05719937
MOT,53,Upland oak,56.22864244,301.6365,31.79851719,138.5102433,16.75699948,72.99133043,52.69742417
MOT,54,Upland oak,0.2478973,1.5554,38.75845293,168.8268266,25.435988,110.795886,65.62694344
MOT,55,Upland oak,22.09865101,119.2103,51.18172223,222.9409868,22.86202786,99.58404735,44.6683442
MOT,56,Upland oak,41.68124053,198.59125,28.45512101,123.9468404,13.58629265,59.18014005,47.74638858
MOT,57,Upland oak,16.16264814,87.8801,38.90657218,169.4720149,19.38964838,84.4588098,49.83643456
MOT,58,Upland oak,58.39148433,274.25035,33.85836845,147.48269,9.703829343,42.26863019,28.66006186
MOT,59,Upland oak,0.624926306,2.94415,46.87547329,204.1835213,29.84307913,129.9926071,63.66459265
MOT,60,Upland oak,0.244293458,1.7776,51.73565562,225.3538492,37.06218475,161.4381009,71.63760525
Talladega,61,Upland oak,0,0,22.67703405,98.77823818,12.23175452,53.2799465,53.93895202
Talladega,62,Upland oak,6.488495069,25.2197,43.82435645,190.8932495,30.20394514,131.5644929,68.92045331
Talladega,63,Upland oak,0,0,45.41042795,197.8019726,31.85837041,138.7709562,70.15650773
Talladega,64,Upland oak,16.97247706,69.8819,30.77736382,134.0622308,21.73622839,94.68020995,70.62407464
Talladega,65,Upland oak,4.445944643,25.60855,72.82164981,317.2017228,53.57911149,233.3837055,73.57580011
Talladega,66,Upland oak,26.28510051,95.15715,58.45936134,254.641445,12.34699719,53.78192875,21.12065016
Talladega,67,Upland oak,43.91644076,152.9847,41.97379738,182.8324527,10.49566182,45.71775041,25.00527107
Talladega,68,Upland oak,83.57887767,280.47195,36.51353024,159.0482326,5.321774088,23.18096217,14.57480023
Talladega,69,Upland oak,50.66058693,240.69815,51.80692054,225.6642701,13.32192152,58.02857349,25.71455971
Talladega,70,Upland oak,50.09404389,310.69115,28.20417999,122.8537736,27.32912747,119.0421576,96.89743678
Talladega,71,Upland oak,0,0,33.29764238,145.0402395,33.29764238,145.0402395,100
Talladega,72,Upland oak,31.20478575,124.59865,23.97579457,104.4354716,22.2225455,96.79854462,92.68742041
Talladega,74,Upland oak,50.26199669,202.47975,21.4714303,93.52678357,10.1443832,44.187626,47.24595919
Talladega,75,Upland oak,51.84659091,162.206,18.45753735,80.39865426,3.851449866,16.77641932,20.86654245
Talladega,76,Upland oak,52.24669604,164.70575,25.30758693,110.2365875,13.53338737,58.94969148,53.47561351
Talladega,77,Upland oak,13.07357088,56.661,37.10977233,161.6453863,16.88951497,73.56855084,45.51231094
Talladega,78,Upland oak,49.17164816,159.92845,47.69393307,207.7486266,9.395790984,40.92685479,19.70018067
Talladega,79,Upland oak,46.60756501,219.03365,40.34898819,175.7549932,25.124301,109.4382176,62.26748703
Talladega,80,Upland oak,35.6754405,182.204,48.68182171,212.0517423,26.81272849,116.7927902,55.07749615
Talladega,81,Upland oak,32.34650967,213.6453,39.32026584,171.2740112,17.23186607,75.05978811,43.82438852
Talladega,82,Upland oak,24.98971335,101.2121,35.05248288,152.6840986,21.60969046,94.12902701,61.64952858
Talladega,83,Upland oak,73.12266395,239.0872,21.64571107,94.28592817,10.97697175,47.81427447,50.71199425
Talladega,84,Upland oak,43.65655703,170.3163,30.97322591,134.9153809,12.75851719,55.57445682,41.19208384
Talladega,85,Upland oak,46.20767212,205.4239,31.28468002,136.2720348,22.56380977,98.28504781,72.12415075
Talladega,86,Upland oak,44.55180615,166.48335,32.82234882,142.969922,15.91276633,69.3139596,48.48149781
Talladega,87,Upland oak,42.12454212,210.81225,36.71738828,159.936212,27.28336421,118.8428188,74.30638585
Talladega,88,Upland oak,62.92505402,307.35815,33.81431307,147.2907904,21.37734197,93.11694693,63.21980259
Talladega,89,Upland oak,11.38640526,58.71635,32.99973482,143.7425925,28.66965327,124.8813153,86.87843535
Talladega,91,Upland oak,76.92831834,313.57975,42.77634288,186.3282374,15.32995433,66.77530567,35.83745899
Talladega,92,Upland oak,75.84248858,341.2992,55.37975406,241.2270725,24.41627079,106.3541293,44.08880322
Talladega,93,Upland oak,69.11061895,329.35595,42.97950225,187.2131735,26.24059071,114.3006318,61.05373338
Talladega,94,Upland oak,24.47770502,87.2135,28.73381499,125.1607955,20.2332993,88.13364451,70.41633457
Talladega,95,Upland oak,45.67114886,215.0896,27.61484702,120.2867152,21.81933199,95.0421985,79.01304674
Talladega,96,Upland oak,38.19818304,252.25255,39.34708722,171.3908417,30.66697306,133.5813829,77.9396271
Talladega,97,Upland oak,45.56186491,169.37195,39.11679594,170.3877226,27.3383267,119.0822283,69.88897233
Talladega,98,Upland oak,4.324469514,26.83065,41.55358275,181.0020519,27.90095473,121.5329635,67.14452252
Talladega,99,Upland oak,17.17553134,88.4356,74.24077663,323.3832564,32.42616087,141.2441783,43.6770227
Talladega,100,Upland oak,48.81835937,277.69445,34.65955542,150.9725572,21.46335671,93.49161607,61.92623203
Talladega,101,Upland oak,37.47928994,175.92685,34.89182628,151.9842991,19.18862385,83.58317285,54.9946102
Talladega,102,Upland oak,28.966432,157.70645,27.65137224,120.4458143,18.60984865,81.06210268,67.30171833
Tuskegee,1,Upland oak,0,0,51.9558161,226.3128399,24.84300639,108.2129346,47.8156408
Tuskegee,2,Upland oak,0,0,38.37685955,167.164655,29.06312414,126.5952237,75.73085572
Tuskegee,2.2,Upland oak,0,0,29.85080338,130.026253,24.93748288,108.624462,83.5404078
Tuskegee,3,Upland oak,0,0,39.2672053,171.0428863,26.31107933,114.6076711,67.00522517
Tuskegee,3.2,Upland oak,0,0,36.54594103,159.1894098,25.22277546,109.8671597,69.01662607
Tuskegee,6,Upland oak,26.46616541,166.2056,42.7700548,186.3008474,16.38138365,71.35519629,38.30105836
Tuskegee,7,Upland oak,0,0,31.20677768,135.9327023,27.02601866,117.7218547,86.60304158
Tuskegee,7.2,Upland oak,0.792919048,4.7773,59.30708787,258.3340325,39.68870083,172.8788665,66.92067043
Tuskegee,8,Upland oak,3.277936963,15.8873,51.06290854,222.4234497,32.378845,141.0380765,63.40971543
Tuskegee,9,Upland oak,0.438404209,1.6665,61.47585492,267.7809023,31.8433877,138.7056935,51.7982023
Tuskegee,12,Upland oak,43.63690521,325.523,27.03436395,117.7582057,15.4499713,67.29808409,57.14937969
Tuskegee,17,Upland oak,0,0,45.34098734,197.4994983,33.70376704,146.8092662,74.3339945
Tuskegee,34,Upland oak,8.243727599,45.9954,43.36295877,188.8834607,30.62016178,133.377479,70.61363579
Tuskegee,35,Upland oak,14.32181971,94.435,36.30955574,158.159746,24.90546024,108.4849755,68.59202689
Tuskegee,36,Upland oak,0,0,60.82954107,264.9656424,18.67614521,81.35088196,30.70242663
Tuskegee,37,Upland oak,0.519883254,3.16635,38.45759541,167.51633,23.81071303,103.7163977,61.91420126
Tuskegee,38,Upland oak,0.220349968,0.94435,40.150836,174.8918678,14.58559299,63.53296359,36.32699701
Tuskegee,39,Upland oak,0,0,35.86174343,156.2091332,24.53601605,106.8757242,68.41835814
Tuskegee,40,Upland oak,0,0,48.89930393,212.9990668,34.78578283,151.5223875,71.1375828
Tuskegee,41,Upland oak,1.289122627,11.16555,36.53732403,159.1518753,33.74941386,147.0080978,92.36969249
Tuskegee,42,Upland oak,0,0,37.92889197,165.2133659,28.81059169,125.4952249,75.95948682
Tuskegee,43,Upland oak,0,0,15.74877161,68.59961975,7.508745515,32.70712789,47.67829328
Tuskegee,44,Upland oak,0.886699507,3.9996,33.58002381,146.2702566,14.41868713,62.80594315,42.93828739
