Site,Plot,Date,Species,Type,Count,Genus,Specific epithet,Scientific name,Common name,Functional,Notes
Talladega,63,7/5/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,63,7/5/2022,QUMA,Seedling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,63,7/5/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,63,7/5/2022,LIST,Sapling,2,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,63,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,63,7/5/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,64,7/5/2022,QUMO,Sapling,2,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,64,7/5/2022,PITA,Seedling,9,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,64,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,64,7/5/2022,LIST,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,64,7/5/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,64,7/5/2022,ACSA,Sapling,1,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,64,7/5/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,65,7/5/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,65,7/5/2022,qual,Sapling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,65,7/5/2022,qufa,Sapling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Talladega,65,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,65,7/5/2022,COFL,Sapling,1,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,65,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,66,7/5/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,66,7/5/2022,list,Sapling,1,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,66,7/5/2022,FAGR,Sapling,1,Fagus ,grandifolia,Fagus grandifolia,American beech,mesophyte,
Talladega,66,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,67,7/5/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,67,7/5/2022,PITA,Seedling,4,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,67,7/5/2022,QUNI,Sapling,1,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,67,7/5/2022,OXAR,Sapling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,67,7/5/2022,LIST,Sapling,3,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,67,7/5/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,67,7/5/2022,ACSA,Sapling,1,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,67,7/5/2022,ACRU,Seedling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,67,7/5/2022,LIST,Seedling,4,Liquidambar ,styraciflua,Liquidambar styraciflua,sweetgum,mesophyte,
Talladega,67,7/5/2022,OXAR,Seedling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,67,7/5/2022,QUNI,Seedling,5,Quercus ,nigra,Quercus nigra,water oak,mesophyte,
Talladega,67,7/5/2022,SAAL,Seedling,1,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Talladega,68,7/5/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,68,7/5/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,68,7/5/2022,PITA,Seedling,14,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,69,7/5/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,69,7/5/2022,QUMA,Sapling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,69,7/5/2022,PITA,Sapling,2,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,69,7/5/2022,PITA,Seedling,3,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,69,7/5/2022,QUMA,Seedling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,69,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,69,7/5/2022,ACRU,Sapling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,69,7/5/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,69,7/5/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,70,7/5/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,70,7/5/2022,ACSA,Sapling,7,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,70,7/5/2022,ACSA,Seedling,13,Acer ,saccharum,Acer saccharum,sugar maple,mesophyte,
Talladega,72,7/5/2022,quru,Sapling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,72,7/5/2022,QUMA,Sapling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,72,7/5/2022,QUMA,Seedling,1,Quercus ,marilandica,Quercus marilandica,blackjack oak,pine,
Talladega,72,7/5/2022,NYSY,Sapling,2,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,72,7/5/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,72,7/5/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,72,7/5/2022,DIVI,Seedling,4,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Talladega,74,7/5/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,74,7/5/2022,prse,Sapling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Talladega,74,7/5/2022,NYSY,Sapling,3,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,74,7/5/2022,ACRU,Sapling,13,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,74,7/5/2022,ACRU,Seedling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,74,7/5/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,74,7/5/2022,PRSE,Seedling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Talladega,75,7/5/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,75,7/5/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,75,7/5/2022,ACRU,Sapling,13,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,75,7/5/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,75,7/5/2022,NYSY,Seedling,6,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,76,7/5/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,76,7/5/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,77,7/6/2022,quru,Sapling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,77,7/6/2022,QUVE,Seedling,1,Quercus ,velutina,Quercus velutina,black oak,pine,
Talladega,77,7/6/2022,CARYA,Sapling,4,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,77,7/6/2022,ACRU,Sapling,10,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,77,7/6/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,77,7/6/2022,CARYA,Seedling,4,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,78,7/6/2022,QURU,Seedling,3,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,78,7/6/2022,QUMO,Seedling,3,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,78,7/6/2022,PITA,Seedling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,78,7/6/2022,DIVI,Sapling,2,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Talladega,78,7/6/2022,COFL,Sapling,2,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,78,7/6/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,78,7/6/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,78,7/6/2022,COFL,Seedling,8,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,79,7/6/2022,QUFA,Seedling,3,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Talladega,79,7/6/2022,QUMO,Seedling,2,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,79,7/6/2022,piec,Seedling,2,Pinus ,echinata,Pinus echinata,shortleaf pine,pine,
Talladega,79,7/6/2022,CARYA,Sapling,3,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,79,7/6/2022,ACRU,Sapling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,79,7/6/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,79,7/6/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,80,7/6/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,80,7/6/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,80,7/6/2022,ACRU,Sapling,11,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,80,7/6/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,80,7/6/2022,SAAL,Seedling,7,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Talladega,81,7/6/2022,ACRU,Sapling,15,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,81,7/6/2022,ACRU,Seedling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,82,7/6/2022,ACRU,Sapling,11,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,82,7/6/2022,ACRU,Seedling,68,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,83,7/6/2022,QUMO,Seedling,3,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,83,7/6/2022,piec,Seedling,2,Pinus ,echinata,Pinus echinata,shortleaf pine,pine,
Talladega,83,7/6/2022,QUVE,Seedling,1,Quercus ,velutina,Quercus velutina,black oak,pine,
Talladega,83,7/6/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,83,7/6/2022,CARYA,Seedling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,84,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,84,7/6/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,85,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,85,7/6/2022,QURU,Seedling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,85,7/6/2022,DIVI,Seedling,1,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Talladega,86,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,86,7/6/2022,QURU,Seedling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,86,7/6/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,86,7/6/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,86,7/6/2022,DIVI,Seedling,1,Diospyros ,virginiana,Diospyros virginiana,persimmon,mesophyte,
Talladega,87,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,87,7/6/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,87,7/6/2022,ACRU,Seedling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,87,7/6/2022,CARYA,Seedling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,88,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,88,7/6/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,88,7/6/2022,PIEC,Seedling,6,Pinus ,echinata,Pinus echinata,shortleaf pine,pine,
Talladega,89,7/6/2022,N/A,Sapling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,89,7/6/2022,QURU,Seedling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,89,7/6/2022,ACRU,Seedling,9,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,91,7/8/2022,QUMO,Sapling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,91,7/8/2022,SAAL,Sapling,2,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Talladega,91,7/8/2022,FAGR,Sapling,1,Fagus ,grandifolia,Fagus grandifolia,American beech,mesophyte,
Talladega,91,7/8/2022,OXAR,Seedling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
Talladega,92,7/8/2022,QUMO,Seedling,1,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,92,N/A,PITA,Seedling,5,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,92,N/A,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,92,N/A,ACRU,Seedling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,92,N/A,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,93,7/8/2022,QURU,Sapling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,93,7/8/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,93,7/8/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,93,7/8/2022,PITA,Seedling,2,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,93,7/8/2022,NYSY,Sapling,4,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,93,7/8/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,93,7/8/2022,CARYA,Seedling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,93,7/8/2022,SAAL,Seedling,3,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
Talladega,94,7/8/2022,QURU,Sapling,1,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,94,7/8/2022,PITA,Seedling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,94,7/8/2022,LITU,Sapling,1,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Talladega,94,7/8/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,95,7/8/2022,QUAL,Seedling,1,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,95,7/8/2022,OSVI,Sapling,1,Ostrya ,virginiana,Ostrya virginiana,eastern hophorn bean,mesophyte,
Talladega,95,7/8/2022,LITU,Sapling,1,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Talladega,95,7/8/2022,COFL,Sapling,2,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,95,7/8/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,95,7/8/2022,LITU,Seedling,3,Liriodendron ,tulipifera,Liriodendron tulipifera,tulip poplar,mesophyte,
Talladega,96,7/8/2022,QUAL,Seedling,2,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,96,7/8/2022,OSVI,Sapling,1,Ostrya ,virginiana,Ostrya virginiana,eastern hophorn bean,mesophyte,
Talladega,96,7/8/2022,NYSY,Sapling,1,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
Talladega,96,7/8/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,96,7/8/2022,ACRU,Seedling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,96,7/8/2022,CARYA,Seedling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,97,7/8/2022,CARYA,Sapling,5,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,97,7/8/2022,ACRU,Sapling,7,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,97,7/8/2022,ACRU,Seedling,2,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,98,7/8/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
Talladega,98,7/8/2022,PRSE,Sapling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
Talladega,98,7/8/2022,COFL,Sapling,1,Cornus ,florida,Cornus florida,flowering dogwood,mesophyte,
Talladega,98,7/8/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,99,7/8/2022,ULAM,Sapling,1,Ulmus ,americana,Ulmus americana,American elm,mesophyte,
Talladega,99,7/8/2022,ACRU,Seedling,9,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,99,7/8/2022,CECA,Seedling,1,Cercis ,canadensis,Cercis canadensis,eastern redbud,mesophyte,
Talladega,99,7/8/2022,AEGL,Seedling,3,Aesculus ,glabra,Aesculus glabra,buckeye,mesophyte,
Talladega,100,7/6/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,100,7/6/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,100,7/6/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,100,7/6/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,100,7/6/2022,CARYA,Seedling,4,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,101,7/6/2022,QUAL,Seedling,9,Quercus ,alba,Quercus alba,white oak,upland oak,
Talladega,101,7/6/2022,QUFA,Seedling,1,Quercus ,falcata,Quercus falcata,southern red oak,upland oak,
Talladega,101,7/6/2022,QUMO,Seedling,2,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
Talladega,101,7/6/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
Talladega,101,7/6/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,101,7/6/2022,ACRU,Seedling,12,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,102,7/6/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
Talladega,102,7/6/2022,PITA,Sapling,1,Pinus ,taeda,Pinus taeda,loblolly pine,pine,
Talladega,102,7/6/2022,ACRU,Sapling,6,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,102,7/6/2022,ACRU,Seedling,3,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
Talladega,102,7/6/2022,NYSY,Seedling,2,Nyssa ,sylvatica,Nyssa sylvatica,black gum,mesophyte,
CR,103,6/1/2022,OXAR,Sapling,3,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
CR,103,6/1/2022,CARYA,Sapling,1,Carya ,sp.,Carya sp.,hickory,mesophyte,
CR,103,6/1/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
CR,103,6/1/2022,OXAR,Seedling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
CR,104,6/1/2022,QUAL,Seedling,3,Quercus ,alba,Quercus alba,white oak,upland oak,
CR,104,6/1/2022,QURU,Seedling,2,Quercus ,rubrum,Quercus rubrum,northern red oak,upland oak,
CR,104,6/1/2022,PRSE,Sapling,1,Prunus,serotina,Prunusserotina,cherry,mesophyte,
CR,104,6/1/2022,CARYA,Sapling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
CR,104,6/1/2022,CARYA,Seedling,3,Carya ,sp.,Carya sp.,hickory,mesophyte,
CR,105,6/1/2022,QUMO,Seedling,2,Quercus ,montana,Quercus montana,chestnut oak,upland oak,
CR,105,6/1/2022,OXAR,Sapling,1,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
CR,105,6/1/2022,ACRU,Sapling,1,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
CR,105,6/1/2022,CARYA,Seedling,2,Carya ,sp.,Carya sp.,hickory,mesophyte,
CR,105,6/1/2022,SAAL,Seedling,1,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
CR,106,6/1/2022,N/A,Seedling,0,#N/A,#N/A,#N/A,#N/A,#N/A,
CR,106,6/1/2022,PIPA,Sapling,2,Pinus ,palustris,Pinus palustris,longleaf pine,pine,
CR,106,6/1/2022,VACCI,Sapling,1,Vaccinium ,sp.,Vaccinium sp.,blueberry,mesophyte,
CR,106,6/1/2022,OXAR,Sapling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
CR,106,6/1/2022,ACRU,Sapling,4,Acer ,rubrum,Acer rubrum,red maple,mesophyte,
CR,107,6/1/2022,PIPA,Sapling,4,Pinus ,palustris,Pinus palustris,longleaf pine,pine,
CR,107,6/1/2022,OXAR,Seedling,2,Oxydendrum ,arboreum,Oxydendrum arboreum,sourwood,mesophyte,
CR,107,6/1/2022,SAAL,Seedling,2,Sassafras,albidum,Sassafrasalbidum,sassafras,mesophyte,
